eVs,Wavelength,Si,GaAs,CdTe,CdTe monocrystalline,CdTe_FCA,CIGS,CIS,GaNP,GaNP older,GaAs_Aspnes,GaAs_Sze,GaAs_Adachi,GaAs_Sturge,Old_CdTe,perovskite triple cation,perovskite MaPI,MaPI no extrapolation,MaPI extrapolated,MaPI extrapolated highly extrapolated,Triple Cation Perovskite Urbach Tail Hybrid,GaAs_Palik_eyeballed,GaAs_Palik_Urbach,GaAs_original_data
1.575403363,787.000393,957.2285316,14136.72434,33208.43649,15014.40606,1.30E-19,58281.26213,94805.253,1.00E-06,389.0325997,14137.58798,11900.77739,15370.53829,16663.06045,2642.541582,2784.395169,3222.943225,3222.943225,3222.943225,3222.943225,2784.631209,13668.38154,13668.38154,13668.38154
1.577407693,786.0003925,967.2245092,14186.93564,33348.75001,15196.39334,1.30E-19,58419.61272,95738.29827,1.00E-06,394.5448043,14192.78049,11957.11125,15412.02801,16777.60814,2706.398541,3182.521435,3636.985347,3636.985347,3636.985347,3636.985347,3182.724032,13726.24767,13726.24767,13726.24767
1.57941713,785.0003918,977.3507409,14237.45391,33490.01618,15343.66397,1.30E-19,58558.64547,96681.73173,1.00E-06,400.0710528,14248.32992,12013.85631,15453.73585,16892.44768,2706.398541,3638.812596,4089.381678,4089.381678,4089.381678,4089.381678,3638.96722,13784.43292,13784.43292,13784.43292
1.581431692,784.0003916,987.6092213,14287.72004,33632.24334,15441.92381,1.29E-19,58698.36504,95714.14208,1.00E-06,405.6113989,14304.2393,12071.01647,15495.6634,17007.58017,2841.569694,4161.946073,4580.650176,4580.650176,4580.650176,4580.650176,4162.034611,13842.93945,13842.93945,13842.93945
1.583451401,783.0003909,998.0020002,14338.05093,33775.44022,15451.43247,1.29E-19,58838.77617,96577.97727,1.00E-06,411.1658965,14360.51171,12128.59563,15537.81223,17123.00675,3014.910818,4761.921726,5132.423485,5132.423485,5132.423485,5132.423485,4761.921726,13901.76946,13901.76946,13901.76946
1.585476275,782.0003903,1008.531142,14388.6885,33919.61533,15396.18636,1.29E-19,58979.88354,97450.72763,1.00E-06,416.7346,14417.15027,12186.59776,15580.18395,17238.72853,3014.910818,5450.436441,5665.481261,5665.481261,5665.481261,5665.481261,5450.148798,13960.92514,13960.92514,13960.92514
1.587506334,781.0003899,1019.198759,14439.63526,34064.77742,15348.09539,1.29E-19,59121.69197,98332.49676,1.00E-06,422.317564,14474.15812,12245.02688,15622.78016,17354.74666,3014.910818,6240.329699,6246.948033,6246.948033,6246.948033,6246.948033,6239.999969,14020.40873,14020.40873,14020.40873
1.589541598,780.0003897,1030.006998,14490.89374,34210.93533,15380.90133,1.29E-19,59264.2063,99223.38956,1.00E-06,427.9148433,14531.53842,12303.88703,15665.6025,17471.06227,3258.076662,7147.176309,6889.818331,6889.818331,6889.818331,6889.818331,7146.798141,14078.9264,14078.9264,14078.9264
1.591582088,779.0003891,1036.722111,14542.46649,34358.09805,15515.027,1.28E-19,59407.43137,98219.03145,1.00E-06,433.5264929,14589.2944,12363.18232,15708.65262,17587.67651,3323.423096,8188.58896,7600.75754,7600.75754,7600.75754,7600.75754,8188.224705,14131.13534,14131.13534,14131.13534
1.593627824,778.0003883,1043.498436,14594.35609,34506.27461,15688.78251,1.28E-19,59551.3721,99464.56444,1.00E-06,439.1525685,14647.42929,12422.91691,15751.93216,17704.59053,3323.423096,9182.063269,8387.173674,8387.173674,8387.173674,8387.173674,9181.735305,14183.60533,14183.60533,14183.60533
1.595678825,777.0003878,1050.336664,14646.5651,34655.47404,15889.33209,1.28E-19,59696.03344,100727.5248,1.00E-06,444.7931255,14705.94637,12483.09499,15795.44281,17821.80548,3323.423096,10067.43693,9198.605054,9198.605054,9198.605054,9198.605054,10067.18895,14236.338,14236.338,14236.338
1.597735112,776.0003874,1057.237502,14699.09616,34805.7056,16100.48216,1.28E-19,59841.42039,102008.1793,1.00E-06,450.4482201,14764.84895,12543.7208,15839.18625,17939.32253,3631.935373,10728.23426,10003.22806,10003.22806,10003.22806,10003.22806,10728.00099,14289.33501,14289.33501,14289.33501
1.599796706,775.0003868,1064.201665,14751.95193,34956.97868,16294.62493,1.28E-19,59987.53652,103306.799,1.00E-06,456.1179084,14824.14037,12604.79865,15883.16419,18057.14286,3631.935373,11348.29991,10880.58782,10880.58782,10880.58782,10880.58782,11348.05281,14342.59804,14342.59804,14342.59804
1.601863626,774.0003866,1071.229872,14804.12162,35109.30258,16442.69678,1.27E-19,60130.56206,100511.1537,1.00E-06,461.8022471,14902.7031,12666.33287,15927.37835,18175.26763,3631.935373,12005.94639,11837.46953,11837.46953,11837.46953,11837.46953,12005.6847,14396.12876,14396.12876,14396.12876
1.603935895,773.000386,1078.322864,14856.49837,35262.687,16514.17445,1.27E-19,60273.88059,101556.3369,1.00E-06,467.5012931,14983.96425,12728.32787,15971.83046,18293.69802,3635.945772,12703.52868,12881.31272,12881.31272,12881.31272,12881.31272,12703.27892,14449.92886,14449.92886,14449.92886
1.606013532,772.0003855,1085.481377,14909.19684,35417.14146,16549.98144,1.27E-19,60417.9133,102613.7628,1.00E-06,473.2151033,15065.88076,12790.78809,16016.52228,18412.43523,3940.447651,13368.18101,14020.27215,14020.27215,14020.27215,14020.27215,13367.92471,14504.00006,14504.00006,14504.00006
1.608096559,771.0003849,1092.706169,14962.21968,35572.67579,16533.37311,1.27E-19,60562.66519,103683.591,1.00E-06,480.7221367,15148.45933,12853.71804,16061.45557,18531.48045,3940.447651,14050.86913,15222.02171,15222.02171,15222.02171,15222.02171,14050.59934,14558.34407,14558.34407,14558.34407
1.610184996,770.0003844,1099.998001,15015.56954,35729.29976,16543.13145,1.27E-19,60708.1412,102572.0911,1.00E-06,490.4313144,15231.70679,12917.12226,16106.01001,18650.83488,4024.174562,14770.3313,16376.0386,16376.0386,16376.0386,16376.0386,14770.04736,14612.96262,14612.96262,14612.96262
1.612278865,769.0003837,1108.58118,15069.24912,35887.02341,16648.95849,1.26E-19,60854.34637,103275.6231,1.00E-06,500.1657435,15315.63003,12981.00536,16150.60377,18770.49972,4248.959928,15528.64969,17620.89307,17620.89307,17620.89307,17620.89307,15528.35081,14667.85747,14667.85747,14667.85747
1.614378186,768.0003835,1117.253945,15123.26113,36045.85672,16829.79577,1.26E-19,61001.28579,103984.9054,1.00E-06,509.9255227,15400.23603,13045.372,16196.28617,18890.47619,4248.959928,16328.02915,18945.18918,18945.18918,18945.18918,18945.18918,16327.7144,14723.03036,14723.03036,14723.03036
1.616482981,767.0003832,1126.01744,15177.60833,36205.80993,17064.95329,1.26E-19,61148.96453,104699.9927,1.00E-06,519.7107511,15485.53185,13110.2269,16243.84442,19010.76551,4248.959928,17170.82695,20362.04942,20362.04942,20362.04942,20362.04942,17170.47464,14778.48309,14778.48309,14778.48309
1.618593273,766.0003823,1134.872831,15232.29353,36366.89345,17334.03614,1.26E-19,61297.38778,105420.94,1.00E-06,529.5215284,15571.52465,13175.57482,16293.80129,19131.36889,4512.056875,18117.13523,21876.46271,21876.46271,21876.46271,21876.46271,18116.76155,14834.21742,14834.21742,14834.21742
1.620709081,765.0003819,1143.821284,15297.67496,36529.11752,17608.01697,1.26E-19,61446.56074,104087.6603,1.00E-06,539.3579548,15658.22167,13241.42059,16346.41272,19252.28758,4557.472206,19122.2816,23351.65474,23351.65474,23351.65474,23351.65474,19121.88666,14890.23516,14890.23516,14890.23516
1.622830428,764.0003814,1152.864,15387.83528,36692.49277,17863.58963,1.26E-19,61596.48866,105121.1759,1.00E-06,549.220131,15745.63024,13307.7691,16401.6654,19373.52281,4557.472206,20186.02455,24930.58183,24930.58183,24930.58183,24930.58183,20185.62969,14946.53814,14946.53814,14946.53814
1.624957335,763.0003811,1162.002187,15478.17048,36857.02979,18072.97369,1.25E-19,61747.17683,106166.3273,1.00E-06,559.1081582,15833.7578,13369.43022,16459.27433,19495.07583,4770.300917,21249.25752,26620.83306,26620.83306,26620.83306,26620.83306,21249.00887,15012.23258,15012.23258,15012.23258
1.627089825,762.0003806,1171.237081,15568.86909,37022.73944,18202.64637,1.25E-19,61898.63062,107223.2613,1.00E-06,569.0221383,15922.61185,13429.62668,16518.68035,19616.94788,4865.984483,21912.93012,28430.57558,28430.57558,28430.57558,28430.57558,21912.67335,15083.3398,15083.3398,15083.3398
1.62922792,761.0003798,1180.569932,15660.33965,37189.63261,18221.69263,1.25E-19,62050.85538,108292.1262,1.00E-06,578.9621735,16012.20001,13490.25345,16579.04767,19739.14023,4865.984483,22599.15776,30368.59778,30368.59778,30368.59778,30368.59778,22598.89261,15154.87787,15154.87787,15154.87787
1.631371641,760.0003793,1190.002002,15752.59044,37357.72024,18223.91957,1.25E-19,62203.85658,105550.4803,1.00E-06,588.9283667,16102.52999,13551.31454,16639.26136,19861.65414,4865.984483,23308.76656,32021.50379,32021.50379,32021.50379,32021.50379,23308.49271,15226.84998,15226.84998,15226.84998
1.63352101,759.0003791,1201.353013,15844.22611,37527.01344,18255.77064,1.25E-19,62357.63969,106697.8339,1.00E-06,598.9208213,16193.6096,13612.814,16699.49734,19984.49087,5072.49136,24042.61521,33265.22982,33265.22982,33265.22982,33265.22982,24042.3324,15299.25932,15299.25932,15299.25932
1.635676051,758.0003786,1212.842682,15936.63877,37697.52362,18241.4774,1.24E-19,62512.21028,107859.197,1.00E-06,608.9396412,16285.44673,13674.75594,16760.11119,20107.65172,5174.496761,24801.59608,34560.73771,34560.73771,34560.73771,34560.73771,24801.30486,15372.10915,15372.10915,15372.10915
1.637836786,757.0003779,1224.473031,16029.83674,37869.26213,18219.69557,1.24E-19,62667.57389,109034.7592,1.00E-06,618.9849309,16378.04938,13737.1445,16821.10605,20231.13795,5174.496761,25584.07563,35910.32371,35910.32371,35910.32371,35910.32371,25583.77637,15445.40272,15445.40272,15445.40272
1.640003237,756.0003773,1236.246119,16123.28819,38042.24046,18243.55455,1.24E-19,62823.73619,107910.2185,1.00E-06,629.0567955,16471.42568,13799.98388,16882.48514,20354.95087,5174.496761,26389.19309,37316.39192,37316.39192,37316.39192,37316.39192,26388.884,15519.14332,15519.14332,15519.14332
1.642175426,755.0003771,1248.164036,16216.83314,38216.47021,18348.48237,1.24E-19,62980.70285,108672.9854,1.00E-06,633.9855812,16565.58381,13863.27832,16944.25168,20479.09177,5483.009038,27221.881,38781.4596,38781.4596,38781.4596,38781.4596,27221.56176,15593.3343,15593.3343,15593.3343
1.644353378,754.0003764,1260.228924,16311.17116,38391.96333,18521.80377,1.24E-19,63138.47962,109442.1657,1.00E-06,638.7630716,16660.5321,13927.03211,17006.40894,20603.56196,5483.009038,28083.15829,40308.1649,40308.1649,40308.1649,40308.1649,28082.82848,15667.97898,15667.97898,15667.97898
1.646537114,753.000376,1272.442939,16406.3107,38568.73162,18743.45346,1.24E-19,63297.07229,110217.8218,1.00E-06,643.5532513,16756.27895,13991.24959,17068.96022,20728.36274,5483.009038,28974.08234,41238.58026,41238.58026,41238.58026,41238.58026,28973.74162,15743.08077,15743.08077,15743.08077
