eVs,wavelength_nm,Si,GaAs,CdTe,CIS,CIGS,GaNP,perovskite triple cation,perovskite MaPI
0.409188926,3030,3.485,3.313510782,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.409865272,3025,3.485,3.31358518,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.410543857,3020,3.485,3.313659824,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.411224692,3015,3.485,3.313734716,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.41190779,3010,3.485,3.313809857,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.41259316,3005,3.485,3.313885248,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.413280816,3000,3.485,3.31396089,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.413970767,2995,3.485,3.314036784,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.414663026,2990,3.485,3.314112933,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.415357604,2985,3.485,3.314189336,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.416054512,2980,3.485,3.314265996,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.416753764,2975,3.485,3.314342914,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.417455369,2970,3.485,3.314420091,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.418159341,2965,3.485,3.314497528,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.418865691,2960,3.485,3.314575226,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.419574432,2955,3.485,3.314653188,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.420285575,2950,3.485,3.314731413,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.420999133,2945,3.485,3.314809905,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.421715118,2940,3.485,3.314888663,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.422433542,2935,3.485,3.31496769,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.423154419,2930,3.485,3.315046986,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.42387776,2925,3.485,3.315126554,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.424603578,2920,3.485,3.315206394,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.425331886,2915,3.485,3.315286507,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.426062696,2910,3.485,3.315366897,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.426796023,2905,3.485,3.315447563,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.427531878,2900,3.485,3.315528507,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.428270275,2895,3.485,3.31560973,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.429011227,2890,3.485,3.315691235,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.429754748,2885,3.485,3.315773022,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.43050085,2880,3.485,3.315855094,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.431249547,2875,3.485,3.31593745,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.432000853,2870,3.485,3.316020094,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.432754781,2865,3.485,3.316103026,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.433511345,2860,3.485,3.316186248,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.434270559,2855,3.485,3.316269761,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.435032437,2850,3.485,3.316353568,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.435796994,2845,3.485,3.316437669,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.436564242,2840,3.485,3.316522067,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.437334196,2835,3.485,3.316606762,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.438106872,2830,3.485,3.316691756,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.438882282,2825,3.485,3.316777051,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.439660442,2820,3.485,3.316862649,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.440441367,2815,3.485,3.31694855,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.44122507,2810,3.485,3.317034758,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.442011567,2805,3.485,3.317121272,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.442800874,2800,3.485,3.317208096,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.443593004,2795,3.485,3.31729523,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.444387974,2790,3.485,3.317382677,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.445185798,2785,3.485,3.317470438,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.445986492,2780,3.485,3.317558514,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.446790071,2775,3.485,3.317646908,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.447596551,2770,3.485,3.317735621,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.448405948,2765,3.485,3.317824654,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.449218278,2760,3.485,3.317914011,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.450033556,2755,3.485,3.318004027,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.450851799,2750,3.485,3.318102216,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.451673023,2745,3.485,3.318200763,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.452497243,2740,3.485,3.318299669,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.453324478,2735,3.485,3.318398937,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.454154742,2730,3.485,3.318498569,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.454988054,2725,3.485,3.318598566,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.455824429,2720,3.485,3.318698931,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.456663885,2715,3.485,3.318799666,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.457506438,2710,3.485,3.318900773,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.458352106,2705,3.485,3.319002253,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.459200906,2700,3.485,3.319104109,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.460052856,2695,3.485,3.319206343,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.460907973,2690,3.485,3.319308957,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.461766274,2685,3.485,3.319411953,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.462627779,2680,3.485,3.319515333,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.463492503,2675,3.485,3.3196191,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.464360467,2670,3.485,3.319723256,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.465231687,2665,3.485,3.319827802,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.466106183,2660,3.485,3.319932742,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.466983972,2655,3.485,3.320038077,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.467865074,2650,3.485,3.320143809,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.468749507,2645,3.485,3.320249941,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.46963729,2640,3.485,3.320356475,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.470528443,2635,3.485,3.320463413,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.471422984,2630,3.485,3.320570758,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.472320932,2625,3.485,3.320678512,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.473222308,2620,3.485,3.320786677,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.474127131,2615,3.485,3.320895256,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.47503542,2610,3.485,3.32100425,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.475947196,2605,3.485,3.321113664,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.47686248,2600,3.485,3.321223498,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
